PA_ID,NAME,TYPE,TYPE_ABBR,IUCN,NRS_PA,GAZ_AREA,GIS_AREA,REPT_AREA,GAZ_DATE,LATEST_GAZ,STATE,AUTHORITY,DATASOURCE,GOVERNANCE,COMMENTS,ENVIRON,OVERLAP,X_COORD,Y_COORD,MGT_PLAN,RES_NUMBER,EPBC,SHAPE_AREA,SHAPE_LEN
WA_18199,Unnamed WA18199,Nature Reserve,NR,IA,Y,173.7012,169.55691913,169.55691913,"""1923-01-19T00:00:00.000Z""","""1923-01-19T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,118.56605736,-31.35684988,I,WA18199,State,0.000160725745957,0.057445042833
WA_18239,Kulikup,Nature Reserve,NR,IA,Y,62.2667,62.08385353,62.08385353,"""1923-03-02T00:00:00.000Z""","""1923-03-02T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,116.66815838,-33.82420322,M,WA18239,State,0.0000604616160847,0.0312294661569
WA_18311,Unnamed WA18311,Nature Reserve,NR,IA,Y,30.3059,30.30293485,30.30293485,"""1923-06-15T00:00:00.000Z""","""1923-06-15T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,118.20857529,-32.60620597,I,WA18311,State,0.000029110758827,0.0227302187484
WA_18340,Mount Shadforth,Nature Reserve,NR,IA,Y,83.6687,83.7127601,83.7127601,"""1923-07-27T00:00:00.000Z""","""1923-07-27T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.28371567,-34.97554246,M,WA18340,State,0.0000826340628333,0.0407410831966
WA_18342,Pantapin,Nature Reserve,NR,IA,Y,0.4629,0.46352046,0.46352046,"""1923-07-27T00:00:00.000Z""","""1923-07-27T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.65450211,-31.95208417,I,WA18342,State,4.42146579044e-7,0.00277123125168
WA_18381,Sawyers,Nature Reserve,NR,IA,Y,16.1975,16.19579864,16.19579864,"""1923-09-07T00:00:00.000Z""","""1923-09-07T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.04203151,-30.33810999,I,WA18381,State,0.0000151932759785,0.0156310924886
WA_18444,Unnamed WA18444,5(1)(g) Reserve,S5G,VI,Y,25.9227,25.92214694,25.92214694,"""1923-11-30T00:00:00.000Z""","""1923-11-30T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,118.16946894,-31.80083485,I,WA18444,State,0.0000246871162794,0.0305097970533
WA_18468,Balicup Lake,Nature Reserve,NR,IA,Y,687.0673,686.59806896,686.59806896,"""1923-12-21T00:00:00.000Z""","""1923-12-21T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,117.78599662,-34.26343594,M,WA18468,State,0.000672065559614,0.105401337695
WA_18583,Unnamed WA18583,Nature Reserve,NR,IA,Y,1058.6855,1057.62104264,1057.62104264,"""1924-04-04T00:00:00.000Z""","""1924-04-04T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,118.7212704,-31.36307806,I,WA18583,State,0.00100266602394,0.298821562128
WA_18584,Unnamed WA18584,Nature Reserve,NR,IA,Y,576.677,585.02594117,585.02594117,"""1924-04-04T00:00:00.000Z""","""1924-04-04T00:00:00.000Z""",WA,WA_DPAW,WA_DPAW,G,,T,1,118.77625847,-31.33978843,I,WA18584,State,0.000554456855953,0.103136792002
